# suite|fixture|observed-error-or-exception
resvg|extra/filter-on-empty-group|0.59545352557496523
resvg|extra/filter-region-precision|0.36902970894782461
resvg|extra/filter-with-transform-on-shape|0.21514216256181537
resvg|tests/filters/enable-background/filter-on-shape|0.21214398104006313
resvg|tests/filters/enable-background/with-filter-on-the-same-element|0.16785193726550188
resvg|tests/filters/enable-background/with-mask|0.34729672190979394
resvg|tests/filters/feBlend/mode=color-burn|0.43848888043466216
resvg|tests/filters/feBlend/mode=darken|0.45728760323433998
resvg|tests/filters/feBlend/mode=hue|0.4079081980117974
resvg|tests/filters/feBlend/mode=lighten|0.45766776845013907
resvg|tests/filters/feBlend/mode=multiply|0.4596527765783478
resvg|tests/filters/feBlend/mode=normal|0.52282711705429707
resvg|tests/filters/feBlend/mode=screen|0.30021669273394208
resvg|tests/filters/feColorMatrix/invalid-type|0.64813691256625172
resvg|tests/filters/feColorMatrix/type=hueRotate|0.28910554434261615
resvg|tests/filters/feColorMatrix/type=matrix-with-too-many-values|0.48458845783997589
resvg|tests/filters/feColorMatrix/type=matrix-without-values|0.48458845783997589
resvg|tests/filters/feColorMatrix/type=saturate-with-a-large-coefficient|0.38561300292005468
resvg|tests/filters/feColorMatrix/type=saturate-with-negative-coefficient|0.24154222272999307
resvg|tests/filters/feColorMatrix/without-a-type|0.64813691256625172
resvg|tests/filters/feColorMatrix/without-attributes|0.48458845783997589
resvg|tests/filters/feComponentTransfer/mixed-types|0.2220458811339196
resvg|tests/filters/feComponentTransfer/type=discrete-on-blue|0.31972537990658834
resvg|tests/filters/feComponentTransfer/type=table-and-tableValues=1-0-1|0.12463273794680169
resvg|tests/filters/feComponentTransfer/type=table-and-tableValues=100--100|0.31972537990658834
resvg|tests/filters/feComponentTransfer/type=table-on-alpha|0.13294779231539786
resvg|tests/filters/feComponentTransfer/type=table-on-blue|0.13238052760003699
resvg|tests/filters/feComponentTransfer/type=table-on-blue-twice|0.13238052760003699
resvg|tests/filters/feComponentTransfer/type=table-on-blue-with-sRGB-interpolation|0.31972537990658834
resvg|tests/filters/feComponentTransfer/type=table-with-large-values|0.31972537990658834
resvg|tests/filters/feComposite/operator=arithmetic|0.40665366210004245
resvg|tests/filters/feComposite/operator=arithmetic-and-invalid-k1-4|0.70039527135596813
resvg|tests/filters/feComposite/operator=arithmetic-on-sRGB|0.33012829190358883
resvg|tests/filters/feComposite/operator=arithmetic-with-large-k1-4|0.48182106447673495
resvg|tests/filters/feComposite/operator=arithmetic-with-opacity|0.37896415186273535
resvg|tests/filters/feComposite/operator=arithmetic-with-opacity-on-sRGB|0.31176664122968567
resvg|tests/filters/feComposite/operator=arithmetic-with-some-k1-4|0.65555134380231694
resvg|tests/filters/feComposite/operator=arithmetic-without-k1-4|0.47990013874691545
resvg|tests/filters/feComposite/operator=atop|0.51140128670890561
resvg|tests/filters/feComposite/operator=in|0.4156834192878332
resvg|tests/filters/feComposite/operator=out|0.57499985328358882
resvg|tests/filters/feComposite/operator=over|0.20267975388647574
resvg|tests/filters/feComposite/operator=xor|0.64735351370283378
resvg|tests/filters/feComposite/with-subregion-on-input-2|0.37406609398553736
resvg|tests/filters/feConvolveMatrix/bias=-0.5|0.20382001001930333
resvg|tests/filters/feConvolveMatrix/bias=0.5|0.43421028409856688
resvg|tests/filters/feConvolveMatrix/bias=9999|0.86303746867095299
resvg|tests/filters/feConvolveMatrix/custom-divisor|0.25227291365465293
resvg|tests/filters/feConvolveMatrix/divisor=0|0.30788319720259005
resvg|tests/filters/feConvolveMatrix/empty-kernelMatrix|0.30788319720259005
resvg|tests/filters/feConvolveMatrix/kernelMatrix-with-not-enough-values|0.30788319720259005
