# Exact reviewed SVG.NET-on-ProGPU expected-exception inventory.
# Format: suite|fixture|exception-type|reason
# Matching is exact by suite/fixture and exception type. New, changed, and resolved
# entries fail the gate so this inventory cannot silently conceal regressions.
resvg|tests/filters/filter-functions/blur-function-mm-value|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/blur-function-negative-value|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/blur-function-no-values|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/blur-function-percent-value|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/blur-function-two-values|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/blur-function|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/color-adjust-functions-0percent|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/color-adjust-functions-100percent|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/color-adjust-functions-2|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/color-adjust-functions-200percent|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/color-adjust-functions-50percent|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/color-adjust-functions-default-value|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/color-adjust-functions-negative|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/drop-shadow-function-color-as-attribute|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/drop-shadow-function-color-last|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/drop-shadow-function-comma-separated|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/drop-shadow-function-currentColor|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/drop-shadow-function-em-values|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/drop-shadow-function-extra-value|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/drop-shadow-function-filter-region|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/drop-shadow-function-mm-values|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/drop-shadow-function-no-color|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/drop-shadow-function-no-values|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/drop-shadow-function-only-X-offset|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/drop-shadow-function-only-offset|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/drop-shadow-function-percent-values|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/drop-shadow-function|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/grayscale-and-opacity|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/hue-rotate-function-0.25turn|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/hue-rotate-function-45|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/hue-rotate-function-45deg|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/hue-rotate-function-45grad|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/hue-rotate-function-45rad|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/hue-rotate-function-999deg|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/hue-rotate-function-default-value|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/hue-rotate-function-zero|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/one-invalid-function-in-list|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/filters/filter-functions/one-invalid-url-in-list|System.IO.FileNotFoundException|SVG.NET resolves the deliberately invalid filter URL as a missing document
resvg|tests/filters/filter-functions/two-drop-shadow-function|System.ArgumentOutOfRangeException|SVG.NET filter-function parser fails before drawing
resvg|tests/paint-servers/linearGradient/invalid-gradientTransform|System.Runtime.InteropServices.ExternalException|SVG.NET collapses a malformed linear gradient to coincident points rejected by GDI+
resvg|tests/paint-servers/linearGradient/recursive-xlink-href-1|SvgFixtureIsolationException|Recursive SVG.NET linear-gradient reference terminates or exceeds the isolated-worker limit
resvg|tests/paint-servers/linearGradient/recursive-xlink-href-2|SvgFixtureIsolationException|Recursive SVG.NET linear-gradient reference terminates or exceeds the isolated-worker limit
resvg|tests/paint-servers/linearGradient/recursive-xlink-href-3|SvgFixtureIsolationException|Recursive SVG.NET linear-gradient reference terminates or exceeds the isolated-worker limit
resvg|tests/paint-servers/linearGradient/self-recursive-xlink-href|SvgFixtureIsolationException|Recursive SVG.NET linear-gradient reference terminates or exceeds the isolated-worker limit
resvg|tests/paint-servers/pattern/invalid-patternTransform|System.ArgumentException|SVG.NET submits a singular texture transform rejected by GDI+
resvg|tests/paint-servers/pattern/recursive-on-child|SvgFixtureIsolationException|Recursive SVG.NET pattern reference terminates or exceeds the isolated-worker limit
